sample_id,model_idx,scenario_idx,success,Ra,La,J,b,Kt,Ke,gain_proxy,Te,Tm,reference_type,ref_amplitude,ref_secondary_amplitude,disturbance_amplitude,noise_std,q1,q2,r1,iae,ise,control_energy,control_variation,overshoot,settling_time,meta_cost,search_method,sample_dir
106,10,6,True,2.193373128415788,0.5462271953305591,0.024961441820365186,0.20839205823698315,0.09209230193609552,0.10807946581756081,0.19718508451887082,0.24903523630066704,0.11978115688064787,multi_step,115.29991327679814,27.182214050288437,-0.1612088445178083,0.42289847890107124,1.737927637419128,1.000082619953487,0.5107447750864883,210.99297875732913,22393.100991729134,1342.3916169616566,1.59999336431247,0.0,2.4,45487.58050024656,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000106
107,10,7,True,2.193373128415788,0.5462271953305591,0.024961441820365186,0.20839205823698315,0.09209230193609552,0.10807946581756081,0.19718508451887082,0.24903523630066704,0.11978115688064787,sine,74.2364402302205,36.531132336729115,0.03369114402448728,0.3675647137598167,6.57123231379227,0.04313753570228615,0.013389489265991126,158.26380328035313,10462.98645912965,1342.4169021067594,1.5999814099109326,0.0,2.4,21469.165172276193,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000107
108,10,8,True,2.193373128415788,0.5462271953305591,0.024961441820365186,0.20839205823698315,0.09209230193609552,0.10807946581756081,0.19718508451887082,0.24903523630066704,0.11978115688064787,sine,57.12526370882772,60.48549644265338,0.1766155426952396,0.0603276687218432,8.521903651003973,0.2648531742401526,0.0019644902953360704,134.61343852777668,7554.024497453213,1342.4050602489376,1.6000084282631843,0.0,2.4,15580.289563923616,LHS,mpc_qr_dataset_streaming\samples\sample_000108
109,10,9,True,2.193373128415788,0.5462271953305591,0.024961441820365186,0.20839205823698315,0.09209230193609552,0.10807946581756081,0.19718508451887082,0.24903523630066704,0.11978115688064787,step,30.039564564980928,46.45398111513111,-0.02005628002234952,0.12262948651160482,0.19579250709528276,38.33470583465639,0.004626178922711654,64.13205193287268,1739.30348271462,1342.4005078212463,1.6000054027973818,0.0,2.4,3739.4031468890603,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000109
110,11,0,True,2.1681961610687894,0.5702669298804408,0.026244051957978007,0.18071865748838734,0.1006170078857563,0.09496812807731303,0.250672118255672,0.26301445419003683,0.1452204898083885,step,36.12540628519241,114.00190108075147,-0.003756833795251241,0.264872833091249,7.082832423963825,12.525037289533081,0.020773429410560106,73.0858617932917,2227.9657862236068,1342.4043618835776,1.599990075604172,0.0,2.4,4743.589375425048,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000110
111,11,1,True,2.1681961610687894,0.5702669298804408,0.026244051957978007,0.18071865748838734,0.1006170078857563,0.09496812807731303,0.250672118255672,0.26301445419003683,0.1452204898083885,multi_step,63.456308469769034,33.175483289206745,0.1812822099620756,0.08178843885505499,1.0000025385009064,17.631620812342305,0.015003179072824556,104.57300338158205,5098.264582763579,1342.3972401803485,1.5999940648239577,0.0,2.4,10578.648037384164,LHS+Powell,mpc_qr_dataset_streaming\samples\sample_000111
112,11,2,True,2.1681961610687894,0.5702669298804408,0.026244051957978007,0.18071865748838734,0.1006170078857563,0.09496812807731303,0.250672118255672,0.26301445419003683,0.1452204898083885,multi_step,40.771725335153924,45.318460612660154,-0.07138680340706732,0.3040646059572958,1.1615201898926661,0.0402905118451523,1.2811544362528289,93.34066113339804,3667.340839183632,1342.4015950575163,1.6000036284844958,0.0,2.4,7683.103741701758,LHS,mpc_qr_dataset_streaming\samples\sample_000112
113,11,3,True,2.1681961610687894,0.5702669298804408,0.026244051957978007,0.18071865748838734,0.1006170078857563,0.09496812807731303,0.250672118255672,0.26301445419003683,0.1452204898083885,step,60.04512452452783,73.18860913460682,0.0966458530926061,0.23437964850697623,0.0021575375206350166,35.26379969692785,1.1476718658823601,130.4576971652051,7102.512478811307,1342.3915043421364,1.6000003764572706,0.0,2.4,14664.79762435416,LHS,mpc_qr_dataset_streaming\samples\sample_000113
114,11,4,True,2.1681961610687894,0.5702669298804408,0.026244051957978007,0.18071865748838734,0.1006170078857563,0.09496812807731303,0.250672118255672,0.26301445419003683,0.1452204898083885,sine,112.06658582735679,54.138706738172765,0.049083497995283276,0.3754192923724298,0.2433051485305873,149.45356410754616,0.00022581694434770279,239.5262740150086,23993.282261996963,1342.4062732234572,1.60000286863792,0.0,2.4,48773.543659843555,LHS,mpc_qr_dataset_streaming\samples\sample_000114
115,11,5,True,2.1681961610687894,0.5702669298804408,0.026244051957978007,0.18071865748838734,0.1006170078857563,0.09496812807731303,0.250672118255672,0.26301445419003683,0.1452204898083885,multi_step,41.19546110805426,112.37833160931802,0.1973473993644712,0.14044819298207756,0.10689908454436389,0.14302778198298516,0.24900967546876257,148.33552262688346,11936.222181092944,1342.4023229713614,1.6000009287031496,0.0,2.4,24385.851046261545,LHS,mpc_qr_dataset_streaming\samples\sample_000115
